IFBL;ifbluurhok;Xcoord;Ycoord
D746;d7-46;248012.000000;184180.000000
D751;d7-51;228012.000000;180180.000000
D752;d7-52;232012.000000;180180.000000
D753;d7-53;236012.000000;180180.000000
D754;d7-54;240012.000000;180180.000000
D755;d7-55;244012.000000;180180.000000
D756;d7-56;248012.000000;180180.000000
E016;e0-16;24012.000000;176180.000000
E017;e0-17;28012.000000;176180.000000
E018;e0-18;32012.000000;176180.000000
E026;e0-26;24012.000000;172180.000000
E027;e0-27;28012.000000;172180.000000
E028;e0-28;32012.000000;172180.000000
E037;e0-37;28012.000000;168180.000000
E038;e0-38;32012.000000;168180.000000
E111;e1-11;36012.000000;176180.000000
E112;e1-12;40012.000000;176180.000000
E113;e1-13;44012.000000;176180.000000
E114;e1-14;48012.000000;176180.000000
E115;e1-15;52012.000000;176180.000000
E116;e1-16;56012.000000;176180.000000
E117;e1-17;60012.000000;176180.000000
