IFBL;IFBLuurhok;Xcoord;Ycoord;REGIO;DISTRICT;area;max
C212;c2-12;72012.000000;216180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;15999999.835363;y
C213;c2-13;76012.000000;216180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;15109321.423886;y
C214;c2-14;80012.000000;216180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;10384422.553231;y
B157;b1-57;60012.000000;220180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;12125661.379340;y
B158;b1-58;64012.000000;220180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;15999999.835363;y
B251;b2-51;68012.000000;220180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;15999999.835363;y
B252;b2-52;72012.000000;220180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;15999999.835363;y
B253;b2-53;76012.000000;220180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;15999999.835363;y
B254;b2-54;80012.000000;220180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;11097171.596603;y
B147;b1-47;60012.000000;224180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;728924.173244;y
B148;b1-48;64012.000000;224180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;6422071.935322;y
B241;b2-41;68012.000000;224180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;11198752.784689;y
B242;b2-42;72012.000000;224180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;14640556.518789;y
B243;b2-43;76012.000000;224180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;14935396.005577;y
B244;b2-44;80012.000000;224180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;10068699.626418;y
B234;b2-34;80012.000000;228180.000000;Ecoregio van de polders en de getijdenschelde;Kustpoldersdistrict;4244861.859142;y
D328;d3-28;128012.000000;192180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;6747681.768632;y
D421;d4-21;132012.000000;192180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;8212013.199105;y
D422;d4-22;136012.000000;192180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;8812885.925351;y
D412;d4-12;136012.000000;196180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;9525009.893867;y
D416;d4-16;152012.000000;196180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;9270375.483975;y
C451;c4-51;132012.000000;200180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;5245786.040272;y
C453;c4-53;140012.000000;200180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;12096317.057305;y
C454;c4-54;144012.000000;200180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;8712115.476889;y
C435;c4-35;148012.000000;208180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;7166237.974870;y
C325;c3-25;116012.000000;212180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;2373528.966244;y
C425;c4-25;148012.000000;212180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;9657435.125336;y
C426;c4-26;152012.000000;212180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;10989131.239525;y
C217;c2-17;92012.000000;216180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;7428374.099361;y
C218;c2-18;96012.000000;216180.000000;Ecoregio van de polders en de getijdenschelde;Getijdenschelde- en -poldersdistrict;9261474.246041;y
